Time diff;Memory (KB);Thread id
24358881;6528;139881418364672
25564580;6860;139881435150080
22832690;7088;139881418364672
24206189;7088;139881443542784
22253224;7240;139881443542784
26208775;7240;139881426757376
22478495;7240;139881443542784
24883802;7240;139881426757376
25412004;7352;139881435150080
24964226;5892;139881435150080
25246305;6528;139881426757376
25815699;6860;139881426757376
23398319;7088;139881435150080
24532938;7088;139881443542784
22343354;7240;139881435150080
26589386;7240;139881435150080
23102242;7240;139881418364672
25129561;7240;139881418364672
25602628;7352;139881426757376
25246443;5892;139881426757376
25472637;6528;139881443542784
26897513;6860;139881426757376
23729033;7088;139881418364672
24536943;7088;139881435150080
22638418;7240;139881426757376
26663255;7240;139881418364672
23457509;7240;139881435150080
25219421;7240;139881443542784
25815112;7352;139881435150080
25786004;5932;139881435150080
26802753;6528;139881418364672
26929752;6860;139881418364672
23917369;7088;139881435150080
24926191;7088;139881443542784
23088308;7240;139881435150080
27544958;7240;139881435150080
23671580;7240;139881435150080
25225748;7240;139881426757376
27324090;7352;139881426757376
26224282;5932;139881418364672
26807485;6528;139881443542784
26994286;6860;139881435150080
24869454;7088;139881435150080
25911152;7088;139881426757376
23978416;7240;139881435150080
27986859;7240;139881435150080
24595404;7240;139881418364672
25770119;7240;139881418364672
27549819;7352;139881435150080
27257801;5932;139881435150080
26970004;6528;139881435150080
27242060;6860;139881443542784
25690520;7088;139881426757376
26103330;7088;139881418364672
24323745;7240;139881426757376
28016504;7240;139881418364672
24662271;7240;139881426757376
26742315;7240;139881435150080
27589060;7352;139881418364672
28171169;5932;139881443542784
27673723;6528;139881426757376
27755411;6860;139881443542784
25993981;7088;139881426757376
26234453;7088;139881435150080
24497186;7240;139881435150080
28685929;7240;139881443542784
24919912;7240;139881443542784
27212965;7240;139881435150080
29506606;7352;139881426757376
29018349;5932;139881418364672
28493207;6528;139881435150080
27768950;6860;139881418364672
26447777;7088;139881426757376
27191640;7172;139881443542784
25259222;7240;139881418364672
29599696;7240;139881443542784
25499866;7240;139881435150080
28314005;7240;139881426757376
29580970;7352;139881435150080
29702556;5932;139881426757376
28504839;6528;139881426757376
28254052;6860;139881426757376
26551562;7088;139881418364672
27228600;7172;139881418364672
25338666;7240;139881426757376
29741426;7240;139881418364672
25544850;7240;139881426757376
29219675;7240;139881435150080
29647333;7352;139881418364672
30002141;5932;139881426757376
28817054;6528;139881435150080
29150072;6860;139881418364672
27348738;7088;139881443542784
27661676;7172;139881443542784
25631428;7240;139881418364672
29879492;7240;139881426757376
25880037;7240;139881418364672
29385433;7240;139881426757376
29995655;7352;139881426757376
31076208;6084;139881443542784
29384210;6528;139881435150080
29160421;6860;139881435150080
27535734;7088;139881426757376
28859647;7172;139881426757376
26912643;7240;139881426757376
29994291;7240;139881443542784
27159083;7240;139881443542784
29619791;7240;139881435150080
30039408;7352;139881435150080
31255388;6084;139881435150080
29414647;6528;139881443542784
29483812;6860;139881418364672
29008527;7088;139881418364672
28917130;7172;139881443542784
27167479;7240;139881418364672
30052008;7240;139881435150080
27216415;7240;139881418364672
30677805;7240;139881435150080
30840719;7352;139881418364672
31342709;6084;139881418364672
29706759;6528;139881426757376
30222906;6860;139881443542784
29671542;7088;139881426757376
29089421;7172;139881418364672
28402558;7240;139881418364672
30723698;7240;139881435150080
28327420;7240;139881443542784
31156699;7240;139881435150080
31225574;7352;139881426757376
31618163;6084;139881443542784
30897662;6528;139881443542784
30745138;6860;139881426757376
29767299;7088;139881435150080
29380937;7172;139881435150080
28671332;7240;139881443542784
31256532;7240;139881443542784
28455781;7240;139881426757376
31170738;7240;139881443542784
32742291;7352;139881435150080
32756554;6084;139881443542784
31516619;6528;139881435150080
31574275;6860;139881443542784
30688050;7088;139881426757376
30478556;7172;139881443542784
28957153;7240;139881418364672
32019812;7240;139881435150080
28670620;7240;139881443542784
31940094;7240;139881435150080
33124408;7352;139881443542784
33477071;6084;139881418364672
31895268;6528;139881435150080
31696980;6860;139881435150080
30708615;7088;139881418364672
31653816;7172;139881418364672
30348011;7240;139881443542784
32028853;7240;139881426757376
28766408;7240;139881426757376
33021275;7240;139881443542784
34036893;7352;139881435150080
34798760;6084;139881426757376
32924006;6528;139881435150080
31736031;6860;139881418364672
31341968;7088;139881418364672
31668381;7172;139881426757376
30352287;7240;139881418364672
32742787;7240;139881435150080
28783547;7240;139881435150080
33146842;7240;139881426757376
34115549;7352;139881418364672
34804865;6084;139881443542784
34089077;6528;139881443542784
32064316;6860;139881426757376
31923006;7088;139881418364672
31726661;7172;139881435150080
30421070;7240;139881426757376
33271438;7240;139881443542784
28994053;7240;139881426757376
